id,size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,effort_D
43,226,15,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,2,No,3,4,2,4,3,3,3,3,5,5,3,3,2,3,3,5317
44,61,6,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,3,No,4,3,3,3,3,3,2,3,4,3,3,4,3,3,3,1080
45,287,6,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,4,Yes,3,3,4,4,4,4,3,4,4,3,5,4,3,2,3,5192
46,408,15,CustServ,Mainfrm,Relatnl,TextUI,Inhouse,1,No,3,3,3,4,3,3,3,3,5,3,4,4,3,2,4,8623
47,1079,10,TransPro,Network,Relatnl,TextUI,Outsrced,3,No,4,4,3,5,4,4,5,3,4,4,3,5,2,4,4,8828
48,66,9,InfServ,Network,Other,TextUI,Inhouse,3,No,4,2,2,3,3,2,4,4,4,4,3,4,4,5,3,766
49,380,28,CustServ,Multi,Relatnl,TextUI,Inhouse,3,No,5,5,3,3,2,3,4,5,5,4,4,4,3,4,4,11293
50,190,12,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,2,No,4,4,2,3,4,3,2,2,3,3,3,3,2,4,4,1649
51,1501,27,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,4,Yes,4,3,2,3,3,3,3,3,4,3,4,4,4,3,3,6229
52,572,12,CustServ,Multi,Relatnl,TextUI,Inhouse,2,Yes,2,3,3,3,3,3,4,2,4,3,4,4,2,3,3,4652
53,531,13,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,1,No,2,3,3,4,3,3,3,4,4,3,2,4,4,2,3,3348
54,594,12,MIS,Mainfrm,Relatnl,TextUI,Inhouse,3,No,1,4,4,2,3,3,2,3,2,2,2,4,5,3,3,4548
55,304,14,CustServ,Mainfrm,Relatnl,TextUI,Inhouse,2,No,4,3,5,3,3,3,4,5,4,3,3,4,3,3,3,8765
56,138,12,CustServ,Mainfrm,Relatnl,TextUI,Inhouse,2,No,3,4,5,3,3,3,3,3,4,4,2,4,4,3,3,3400
57,254,9,TransPro,Multi,Relatnl,TextUI,Inhouse,3,No,3,4,3,3,3,3,3,4,4,4,4,4,4,4,3,1950
58,422,30,TransPro,Mainfrm,Relatnl,TextUI,Inhouse,1,No,2,3,3,2,2,2,4,5,4,3,3,4,4,2,3,13634
59,490,21,MIS,Network,Relatnl,TextUI,Outsrced,3,No,4,2,4,3,3,3,3,3,5,3,3,4,3,4,4,6921
60,591,16,CustServ,Multi,Relatnl,TextUI,Inhouse,4,Yes,2,3,3,4,3,3,3,4,4,3,4,3,2,4,3,6475
61,214,12,InfServ,Mainfrm,Relatnl,TextUI,Inhouse,2,Yes,3,3,3,3,3,4,4,5,5,5,5,4,3,2,3,4399
62,654,14,CustServ,Multi,Relatnl,TextUI,Inhouse,4,Yes,2,3,2,3,3,2,3,5,5,4,5,5,1,5,4,7373
63,3562,33,CustServ,Multi,Relatnl,TextUI,Inhouse,3,No,2,4,3,3,3,3,4,3,5,5,5,4,4,5,4,39823
